piste,X,Y,Z,formation
1,246456.18,6709159.129,25.096,Sa
1,246456.18,6709159.129,24.496,Hk
1,246456.18,6709159.129,24.296,Sa
1,246456.18,6709159.129,9.896,Mr
1,247856.753,6709348.456,40.766,Sa
1,247856.753,6709348.456,40.546,Ki
2,246408.318,6709110.304,24.829,Sa
2,246408.318,6709110.304,4.459,Mr
2,247899.271,6709359.579,40.942,Sa
2,247899.271,6709359.579,40.562,Ki
3,247628.107,6708978.595,28.744,Sa
3,247628.107,6708978.595,24.744,Mr
3,246350.309,6709081.73,9.778,Sa
3,246350.309,6709081.73,9.738,Mr
3,247940.869,6709349.517,40.465,Sa
3,247940.869,6709349.517,40.145,Ki
4,247621.308,6708976.878,28.993,Sa
4,247621.308,6708976.878,25.543,Mr
4,246268.888,6709029.759,25.712,Sa
4,246268.888,6709029.759,16.712,Hk
4,246268.888,6709029.759,15.912,Sr
4,246268.888,6709029.759,15.512,Mr
4,247977.876,6709345.167,37.917,Sa
4,247977.876,6709345.167,37.197,Ki
5,247603.327,6708977.956,29.087,Sa
5,247603.327,6708977.956,25.887,Mr
5,246237.641,6709012.769,25.895,Sa
5,246237.641,6709012.769,15.295,Hk
5,246237.641,6709012.769,13.015,Mr
5,248012.12,6709339.714,34.678,Sa
5,248012.12,6709339.714,33.398,Ki
6,246157.365,6708976.83,26.163,Sa
6,246157.365,6708976.83,21.573,Mr
6,248009.682,6709390.357,26.615,Sa
6,248009.682,6709390.357,23.855,Ki
7,246125.664,6709023.314,27.227,Sa
7,246125.664,6709023.314,21.377,Sr
7,248035.259,6709464.737,31.619,Sa
7,248035.259,6709464.737,27.859,Ki
8,246217.277,6709072.394,26.06,Sa
8,246217.277,6709072.394,21.06,Hk
8,246217.277,6709072.394,20.86,Sa
8,246217.277,6709072.394,20.32,Mr
8,248000.489,6709433.066,31.769,Sa
8,248000.489,6709433.066,21.709,Ki
9,246306.17,6709116.432,25.735,Sa
9,246306.17,6709116.432,3.375,Mr
9,247947.406,6709448.952,31.27,Sa
9,247947.406,6709448.952,23.55,Ki
10,246402.338,6709169.918,24.963,Sa
10,246402.338,6709169.918,8.763,Mr
10,247887.19,6709464.181,31.385,Sa
10,247887.19,6709464.181,26.985,Mr
10,247887.19,6709464.181,26.055,Ki
10,247887.19,6709464.181,25.525,Mr
